sbti_id;company_name
40001785;Carmo A/S
40015122;Carnegie Fonder AB
40003316;Carpenters Holdings Limited
40008074;Carrefour
40012752;Investa Office Management Pty Limited
40008060;Carrier Global Corporation
40013248;Cartaseta AG
40015496;Carter Thermal Industries Group Ltd
40011627;Carter's, Inc.
40013474;CARTIER
40011801;Cary Group AB
40015777;Casa Rica Mercado Gourmet - ALES S.A
40005578;CASALUKER S.A
40010723;Cascades Inc.
40000075;Casday (Thailand) Corporation Limited
40005124;Casino Guichard Perrachon SA
40006892;CASIO COMPUTER CO., LTD.
40001467;CASSINA IXC.Ltd.
40007823;Cast & Crew
